iid1	iid2	max_IBD	sum_IBD>8	n_IBD>8	sum_IBD>12	n_IBD>12	sum_IBD>16	n_IBD>16	sum_IBD>20	n_IBD>20
KFJ010.A0101	KFJ009.A0101	283.28940141946083	3315.5106119724223	21.0	3315.5106119724223	21.0	3315.5106119724223	21.0	3315.5106119724223	21.0
XXX001.A1813	KFJ009.A0101	282.6744101941585	3312.1261164415046	24.0	3312.1261164415046	24.0	3312.1261164415046	24.0	3312.1261164415046	24.0
HNJ003.A0101	HNJ025.A0101	283.70030261576176	3305.3152105087065	20.0	3305.3152105087065	20.0	3305.3152105087065	20.0	3305.3152105087065	20.0
LEO125.A0101	LEO118.A0101	283.61090254038567	3305.297899003199	20.0	3305.297899003199	20.0	3305.297899003199	20.0	3305.297899003199	20.0
RKF273.A0101	RKF250.A0101	283.5657026618719	3305.256201249722	20.0	3305.256201249722	20.0	3305.256201249722	20.0	3305.256201249722	20.0
RKF256.A0101	RKF259.A0101	283.6522025987506	3305.2290018029453	20.0	3305.2290018029453	20.0	3305.2290018029453	20.0	3305.2290018029453	20.0
MGS303.A0101	MGS178.A0101	283.36290270090103	3305.0159950827947	20.0	3305.0159950827947	20.0	3305.0159950827947	20.0	3305.0159950827947	20.0
MGS314.A0101	MGS458.A0101	283.38510263711214	3304.8859014959817	20.0	3304.8859014959817	20.0	3304.8859014959817	20.0	3304.8859014959817	20.0
RKF014.A0101	RKC028.A0101	283.61090254038567	3304.7827018614043	20.0	3304.7827018614043	20.0	3304.7827018614043	20.0	3304.7827018614043	20.0
MGS139.A0101	MGS028.A0101	283.6522025987506	3304.7296991193434	20.0	3304.7296991193434	20.0	3304.7296991193434	20.0	3304.7296991193434	20.0
MGS104.A0101	MGS433.A0101	283.38510263711214	3304.706701687246	20.0	3304.706701687246	20.0	3304.706701687246	20.0	3304.706701687246	20.0
MGS069.A0101	MGS126.A0101	283.5657026618719	3304.662402201211	20.0	3304.662402201211	20.0	3304.662402201211	20.0	3304.662402201211	20.0
LEO087.A0101	LEO088.A0101	283.2685025408864	3304.6077016711934	20.0	3304.6077016711934	20.0	3304.6077016711934	20.0	3304.6077016711934	20.0
MGS016.A0101	MGS314.A0101	283.4419026970864	3304.547300716331	20.0	3304.547300716331	20.0	3304.547300716331	20.0	3304.547300716331	20.0
RKF170.A0101	RKF143.A0101	283.26610270887613	3304.518403588736	20.0	3304.518403588736	20.0	3304.518403588736	20.0	3304.518403588736	20.0
RKF218.A0101	RKF198.A0101	283.6056025698781	3304.4681014083835	20.0	3304.4681014083835	20.0	3304.4681014083835	20.0	3304.4681014083835	20.0
MGS091.A0101	MGS370.A0101	283.3339026197791	3304.324601271219	20.0	3304.324601271219	20.0	3304.324601271219	20.0	3304.324601271219	20.0
RKC009.A0101	RKC018.A0101	268.78099282621406	3304.2711931797385	21.0	3304.2711931797385	21.0	3304.2711931797385	21.0	3304.2711931797385	21.0
LEO096.A0101	LEO055.A0101	283.4419026970864	3304.1379970600246	20.0	3304.1379970600246	20.0	3304.1379970600246	20.0	3304.1379970600246	20.0
MGS422.A0101	MGS021.A0101	283.61090254038567	3304.0774011722533	20.0	3304.0774011722533	20.0	3304.0774011722533	20.0	3304.0774011722533	20.0
KUP023.A0101	KUP010.A0101	283.6522025987506	3304.059897887055	20.0	3304.059897887055	20.0	3304.059897887055	20.0	3304.059897887055	20.0
MGS311.A0101	MGS182.A0101	283.46820268780004	3304.0494091590517	20.0	3304.0494091590517	20.0	3304.0494091590517	20.0	3304.0494091590517	20.0
LEO058.A0101	LEO097.A0101	283.5474025458097	3303.965501466155	20.0	3303.965501466155	20.0	3303.965501466155	20.0	3303.965501466155	20.0
LEO073.A0101	LEO048.A0101	283.6027069017291	3303.9471064046666	20.0	3303.9471064046666	20.0	3303.9471064046666	20.0	3303.9471064046666	20.0
LEO046.A0101	LEO026.A0101	283.180002681911	3303.9005053651636	20.0	3303.9005053651636	20.0	3303.9005053651636	20.0	3303.9005053651636	20.0
RKF210.A0101	RKF213.A0101	282.7200101688504	3303.7626057885063	20.0	3303.7626057885063	20.0	3303.7626057885063	20.0	3303.7626057885063	20.0
CSK016.A0101	CSK005.A0101	283.38510263711214	3303.7269114429364	20.0	3303.7269114429364	20.0	3303.7269114429364	20.0	3303.7269114429364	20.0
XXX001.A1815	KFJ048.A0101	283.38510263711214	3303.7177174686803	20.0	3303.7177174686803	20.0	3303.7177174686803	20.0	3303.7177174686803	20.0
MGS107.A0101	MGS079.A0101	283.61090254038567	3303.705805177742	20.0	3303.705805177742	20.0	3303.705805177742	20.0	3303.705805177742	20.0
KFJ045.A0101	KFJ041.A0101	268.78099282621406	3303.6768081808987	21.0	3303.6768081808987	21.0	3303.6768081808987	21.0	3303.6768081808987	21.0
RKF042.A0101	RKF016.A0101	283.38510263711214	3303.6764153112017	20.0	3303.6764153112017	20.0	3303.6764153112017	20.0	3303.6764153112017	20.0
LEO113.A0101	LEO071.A0101	283.3468025550246	3303.6427967774216	20.0	3303.6427967774216	20.0	3303.6427967774216	20.0	3303.6427967774216	20.0
MGS040.A0101	MGS036.A0101	283.61090254038567	3303.538517007837	20.0	3303.538517007837	20.0	3303.538517007837	20.0	3303.538517007837	20.0
RKF109.A0101	RKF105.A0101	283.11350271105766	3303.4962029749295	20.0	3303.4962029749295	20.0	3303.4962029749295	20.0	3303.4962029749295	20.0
RKC031.A0101	RKC033.A0101	283.38510263711214	3303.489896620158	21.0	3303.489896620158	21.0	3303.489896620158	21.0	3303.489896620158	21.0
